term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,HIST,101,HIST 101,FACTS EVIDENCE & EXPLANATION,3,GE: 1B (A3),01,2836,Spring_2026|HIST 101|01|2836,FALSE,\N,310,SEM,MW,8-9:15AM,,LA5-152,Haltom J,Class instruction is: Face to Face - On Campus.
Spring_2026,HIST,101,HIST 101,FACTS EVIDENCE & EXPLANATION,3,GE: 1B (A3),02,7403,Spring_2026|HIST 101|02|7403,FALSE,\N,310,SEM,TuTh,11-12:15PM,,LA2-200,Takeuchi M,Class instruction is: Face to Face - On Campus.Reserved seats for 2 Study Abroad @ Beach Students
Spring_2026,HIST,101,HIST 101,FACTS EVIDENCE & EXPLANATION,3,GE: 1B (A3),03,10228,Spring_2026|HIST 101|03|10228,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Hernandez H,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,HIST,106,HIST 106,AMER INDIAN HISTORY POST 1871,3,GE: 4C (D3),01,4739,Spring_2026|HIST 106|01|4739,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Bollelli D,Class instruction is: Asynch. Online-No Meet Times.Class offered with AIS-106-01
Spring_2026,HIST,112,HIST 112,WORLD SINCE 1500,3,GE: 4C (D3),01,2747,Spring_2026|HIST 112|01|2747,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Barton N,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,HIST,131,HIST 131,EARLY WESTERN CIVILIZATION,3,GE: 4C (D3),01,7393,Spring_2026|HIST 131|01|7393,FALSE,\N,310,LEC,TuTh,9:30-10:45AM,available,LA1-309,Matheson K,Class instruction is: Face to Face - On Campus.
Spring_2026,HIST,172,HIST 172,EARLY UNITED STATES HISTORY,3,GE: 4A (D1),01,4430,Spring_2026|HIST 172|01|4430,TRUE,\N,310,LEC,MW,3:30-4:45PM,available,LA2-120,Haltom J,Class instruction is: Face to Face - On Campus.
Spring_2026,HIST,172,HIST 172,EARLY UNITED STATES HISTORY,3,GE: 4A (D1),02,7236,Spring_2026|HIST 172|02|7236,FALSE,\N,310,LEC,TuTh,8-9:15AM,available,LA4-120,Schraff R,Class instruction is: Face to Face - On Campus.
Spring_2026,HIST,172,HIST 172,EARLY UNITED STATES HISTORY,3,GE: 4A (D1),03,7237,Spring_2026|HIST 172|03|7237,FALSE,\N,306,LEC,W,6:30-9:15PM,,ONLINE-ONLY,Berkley M,Class instruction is: Synch. Online - Meet Times.
Spring_2026,HIST,172,HIST 172,EARLY UNITED STATES HISTORY,3,GE: 4A (D1),04,7238,Spring_2026|HIST 172|04|7238,FALSE,\N,310,LEC,MW,12:30-1:45PM,,LA4-120,Binkiewicz D,Class instruction is: Face to Face - On Campus.
Spring_2026,HIST,172,HIST 172,EARLY UNITED STATES HISTORY,3,GE: 4A (D1),05,7402,Spring_2026|HIST 172|05|7402,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Lynch S,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,HIST,172,HIST 172,EARLY UNITED STATES HISTORY,3,GE: 4A (D1),06,9539,Spring_2026|HIST 172|06|9539,FALSE,\N,306,LEC,MW,3:30-4:45PM,,ONLINE-ONLY,ONeil B,Class instruction is: Synch. Online - Meet Times.
Spring_2026,HIST,172,HIST 172,EARLY UNITED STATES HISTORY,3,GE: 4A (D1),07,8570,Spring_2026|HIST 172|07|8570,FALSE,\N,310,LEC,TuTh,5-6:15PM,,LA1-204,C R,Class instruction is: Face to Face - On Campus.
Spring_2026,HIST,172,HIST 172,EARLY UNITED STATES HISTORY,3,GE: 4A (D1),08,8571,Spring_2026|HIST 172|08|8571,FALSE,\N,310,LEC,MW,9:30-10:45AM,,LA1-204,Berkley M,Class instruction is: Face to Face - On Campus.
